code,date,lv,lv_hi,r1,mkt,exc,short_pnl
36460,2018-06-28,386500.0,0,-0.019607843137254943,0.004303236467047832,-0.023911079604302776,0.023911079604302776
36520,2017-11-29,571500.0,1,-0.08452380952380956,0.0014510112935836985,-0.08597482081739326,0.08597482081739326
36560,2025-09-18,22253500.0,1,-0.0490196078431373,0.00025651643878939293,-0.049276124281926695,0.049276124281926695
36600,2022-08-24,10851100.0,1,0.07421875,0.005069743538456868,0.06914900646154314,-0.06914900646154314
36610,2017-02-13,2977900.0,1,-0.035805626598465534,-0.0012117801586342713,-0.034593846439831266,0.034593846439831266
36610,2017-05-19,2357600.0,1,0.03957037874505365,0.00784760400843538,0.03172277473661827,-0.03172277473661827
36610,2018-04-25,2003700.0,1,-0.08258612553091083,0.0009511190292010517,-0.08353724456011188,0.08353724456011188
36610,2018-07-23,1049400.0,1,-0.02265372168284785,0.007450688078856561,-0.03010440976170441,0.03010440976170441
36610,2018-08-31,828300.0,1,0.018862275449101906,-0.010140195103950499,0.029002470553052405,-0.029002470553052405
36640,2020-03-27,2887900.0,1,-0.03164556962025311,-0.02332249903471552,-0.008323070585537592,0.008323070585537592
36670,2017-04-21,1790300.0,1,-0.03584672435105063,0.0022161830014327073,-0.038062907352483334,0.038062907352483334
36670,2017-06-06,1592400.0,1,0.07600281491907102,0.004695325327536492,0.07130748959153452,-0.07130748959153452
36670,2017-10-25,2841400.0,1,-0.06624102154828415,0.0034402991131529765,-0.06968132066143713,0.06968132066143713
36670,2019-04-03,2110800.0,1,0.03642987249544616,-0.0002571620912434006,0.03668703458668956,-0.03668703458668956
36670,2019-08-05,2913400.0,1,0.12053571428571419,-0.003412495688153329,0.12394820997386752,-0.12394820997386752
36670,2019-10-31,2164100.0,1,-0.010638297872340385,-0.001730133200510775,-0.00890816467182961,0.00890816467182961
36670,2020-01-16,2082200.0,1,-0.034047919293820894,0.0023482168859182413,-0.036396136179739136,0.036396136179739136
36680,2019-10-01,8143700.0,1,0.03755569700827488,0.0005938183801526636,0.03696187862812222,-0.03696187862812222
36720,2019-10-10,2106500.0,1,0.0028050490883591017,0.0008246279647059045,0.001980421123653197,-0.001980421123653197
36810,2020-04-07,2585100.0,1,-0.08552074513124475,0.020159189953583286,-0.10567993508482804,0.10567993508482804
36860,2020-06-18,1869000.0,1,0.08758169934640514,0.005842856613054328,0.08173884273335082,-0.08173884273335082
37100,2019-04-04,233200.0,0,0.12081513828238721,0.004995785462337047,0.11581935282005017,-0.11581935282005017
37470,2019-08-22,1360200.0,1,0.26578073089700993,0.0005424275104845512,0.2652383033865254,-0.2652383033865254
37470,2020-09-11,1407700.0,1,-0.008503401360544172,0.010159598989817194,-0.018663000350361364,0.018663000350361364
37470,2023-06-14,,0,-0.02092050209205021,-0.0002891086325931524,-0.020631393459457057,0.020631393459457057
37470,2025-03-13,1781500.0,1,0.17825311942959,0.00584497505790871,0.17240814437168128,-0.17240814437168128
37470,2025-08-29,1504800.0,1,-0.05566037735849061,-3.9252145617100825e-05,-0.05562112521287351,0.05562112521287351
37580,2017-02-14,1200500.0,1,-0.03576982892690517,0.004750921044297717,-0.040520749971202884,0.040520749971202884
37580,2017-03-17,1574800.0,1,-0.11630218687872762,0.002411930614892312,-0.11871411749361993,0.11871411749361993
37600,2019-03-27,505600.0,0,-0.07373653686826842,-0.012599597696791691,-0.06113693917147673,0.06113693917147673
37600,2022-06-15,728400.0,1,0.042105263157894646,0.002133862316769259,0.03997140084112539,-0.03997140084112539
37660,2018-06-11,403600.0,0,-0.010008340283569672,0.0037842361100220616,-0.013792576393591733,0.013792576393591733
37760,2018-09-26,6889700.0,1,-0.06798866855524077,-0.00846742686511415,-0.059521241690126625,0.059521241690126625
37780,2023-06-27,,0,0.09285714285714275,0.011533060396005563,0.08132408246113719,-0.08132408246113719
37780,2023-12-08,2834000.0,1,-0.02392344497607657,0.009194507892857768,-0.03311795286893433,0.03311795286893433
37840,2018-03-20,973400.0,1,-0.08959338387319093,0.0049464792278939235,-0.09453986310108486,0.09453986310108486
38030,2020-08-26,78900.0,0,-0.06473988439306355,-0.004170769631939644,-0.06056911476112391,0.06056911476112391
38030,2025-07-25,173400.0,0,0.17357001972386588,0.0024282588562272783,0.1711417608676386,-0.1711417608676386
38040,2017-06-22,352100.0,0,-0.057874234835837424,-0.003805045152840781,-0.05406918968299664,0.05406918968299664
38070,2024-11-19,3478200.0,1,-0.0625,-0.0002557801630435411,-0.06224421983695646,0.06224421983695646
38070,2024-12-12,3210800.0,1,-0.07608695652173914,-0.001728632240193573,-0.07435832428154557,0.07435832428154557
38100,2017-04-17,1281200.0,1,-0.10382513661202186,0.010071000929081456,-0.11389613754110332,0.11389613754110332
38100,2022-06-10,2031000.0,1,-0.14033457249070636,-0.015991905855310608,-0.12434266663539575,0.12434266663539575
38230,2019-05-16,4488800.0,1,0.033816425120772875,0.0118904736042235,0.021925951516549375,-0.021925951516549375
38410,2024-08-02,86500.0,0,-0.20576131687242794,-0.12088547636205851,-0.08487584051036942,0.08487584051036942
