code,disc_date,stock_ret,mkt_ret,short_pnl
22120,2024-09-10,0.016872,-0.002488,-0.01936
41860,2024-09-10,-0.004396,-0.002488,0.001908
43240,2024-09-10,-0.006065,-0.002488,0.003577
44520,2024-09-10,-0.030941,-0.002488,0.028453
45870,2024-09-10,0.010956,-0.002488,-0.013444
46660,2024-09-10,0.005667,-0.002488,-0.008155
47040,2024-09-10,-0.003151,-0.002488,0.000663
49120,2024-09-10,0.002587,-0.002488,-0.005075
51100,2024-09-10,-0.005312,-0.002488,0.002824
62680,2024-09-10,-0.020302,-0.002488,0.017814
63020,2024-09-10,-0.016549,-0.002488,0.014061
79360,2024-09-10,0.003691,-0.002488,-0.006179
82330,2024-09-10,-0.007596,-0.002488,0.005108
96010,2024-09-10,0.06416,-0.002488,-0.066647
19280,2024-09-12,0.004999,0.00266,-0.002339
22120,2024-09-12,-0.023847,0.00266,0.026507
25010,2024-09-12,0.005497,0.00266,-0.002837
25930,2024-09-12,-0.005597,0.00266,0.008257
34050,2024-09-12,0.051882,0.00266,-0.049222
36590,2024-09-12,0.00111,0.00266,0.00155
43240,2024-09-12,0.010276,0.00266,-0.007616
44520,2024-09-12,0.012358,0.00266,-0.009698
47680,2024-09-12,0.004,0.00266,-0.00134
51010,2024-09-12,0.005496,0.00266,-0.002836
51050,2024-09-12,-0.014335,0.00266,0.016995
61410,2024-09-12,-0.033153,0.00266,0.035812
63020,2024-09-12,-0.002416,0.00266,0.005076
64650,2024-09-12,-0.012474,0.00266,0.015133
64810,2024-09-12,-0.010467,0.00266,0.013127
77300,2024-09-12,-0.021858,0.00266,0.024518
65260,2024-10-10,-0.028121,-0.005724,0.022397
77310,2024-10-10,0.038661,-0.005724,-0.044385
77620,2024-10-10,-0.007277,-0.005724,0.001553
65260,2024-10-24,0.000919,0.002438,0.001519
43850,2025-01-17,0.006231,0.00537,-0.000861
45060,2025-01-17,0.036122,0.00537,-0.030752
65260,2025-01-17,-0.000991,0.00537,0.006361
30990,2025-02-12,0.01666,0.003527,-0.013133
43850,2025-02-12,-0.018483,0.003527,0.02201
56310,2025-02-12,0.072695,0.003527,-0.069168
69760,2025-02-12,0.009149,0.003527,-0.005622
19110,2025-03-11,-0.007548,0.003113,0.010661
25010,2025-03-11,0.029237,0.003113,-0.026124
30860,2025-03-11,0.018011,0.003113,-0.014898
49120,2025-03-11,-0.005117,0.003113,0.008229
51050,2025-03-11,0.006384,0.003113,-0.003271
65060,2025-03-11,-0.024927,0.003113,0.02804
74530,2025-03-11,0.081479,0.003113,-0.078366
76490,2025-03-11,0.014471,0.003113,-0.011358
77520,2025-03-11,0.017017,0.003113,-0.013904
